timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 22:21:26.435,,supplierr1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:21:26.435,,vehiclee1@localhost,supplierr1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:26.435,,supplierr1_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:21:26.436,,vehiclee2@localhost,supplierr1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:26.436,,supplierr1_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:21:26.436,,vehiclee3@localhost,supplierr1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:26.437,,supplierr1_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": ""201000003"", ""product"": ""C"", ""quantity"": 72, ""sender"": ""supplierr1_test@localhost"", ""rec...",
2025-11-19 22:21:26.437,,supplierr1_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": ""201000003"", ""product"": ""C"", ""quantity"": 72, ""sender"": ""supplierr1_test@localhost"", ""rec...",
2025-11-19 22:21:26.437,,supplierr1_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": ""201000003"", ""product"": ""C"", ""quantity"": 72, ""sender"": ""supplierr1_test@localhost"", ""rec...",
2025-11-19 22:21:26.441,,vehiclee1@localhost,supplierr1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""201000003"", ""can_fit"": false, ""delivery_time"": 62.895, ""vehicle_id"": ""vehiclee1@localho...",
2025-11-19 22:21:26.447,,vehiclee2@localhost,supplierr1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""201000003"", ""can_fit"": false, ""delivery_time"": 27.91, ""vehicle_id"": ""vehiclee2@localhos...",
2025-11-19 22:21:26.450,,vehiclee3@localhost,supplierr1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": ""201000003"", ""can_fit"": false, ""delivery_time"": 20.066, ""vehicle_id"": ""vehiclee3@localho...",
2025-11-19 22:21:28.017,,storee1_test@localhost,warehousee1_test@localhost,Notify,store-buy,3 D,
2025-11-19 22:21:28.017,,storee1_test@localhost,warehousee2_test@localhost,Notify,store-buy,3 D,
2025-11-19 22:21:28.018,,warehousee1_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,3 D,
2025-11-19 22:21:28.019,,warehousee2_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,3 D,
2025-11-19 22:21:28.020,,storee1_test@localhost,warehousee1_test@localhost,Confirmation,store-confirm,3 D,
2025-11-19 22:21:28.021,,storee1_test@localhost,warehousee2_test@localhost,Confirmation,store-deny,3 D,
2025-11-19 22:21:28.021,,warehousee1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:21:28.022,,vehiclee1@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:28.022,,warehousee1_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:21:28.022,,vehiclee2@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:28.023,,warehousee1_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:21:28.023,,vehiclee3@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:28.024,,warehousee1_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 101000007, ""product"": ""D"", ""quantity"": 3, ""sender"": ""warehousee1_test@localhost"", ""recei...",
2025-11-19 22:21:28.024,,warehousee1_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 101000007, ""product"": ""D"", ""quantity"": 3, ""sender"": ""warehousee1_test@localhost"", ""recei...",
2025-11-19 22:21:28.024,,warehousee1_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 101000007, ""product"": ""D"", ""quantity"": 3, ""sender"": ""warehousee1_test@localhost"", ""recei...",
2025-11-19 22:21:28.027,,vehiclee1@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000007, ""can_fit"": true, ""delivery_time"": 3.745, ""vehicle_id"": ""vehiclee1@localhost""}",
