timestamp_real,timestamp_sim,vehicle_jid,algorithm,num_orders,computation_time_ms,route_length,total_distance,total_fuel,route_nodes
2025-11-19 22:35:11.924,,order_101000012,astar,1,1.019,3,4.627,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:11.928,,vehiclee3@localhost,astar,3,3.079,7,22.614,0,"[19, 13, 9, 13, 9, 13, 19]"
2025-11-19 22:35:11.930,,order_102000006,astar,1,1.023,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:11.938,,vehiclee1@localhost,astar,1,1.021,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:11.940,,order_102000006,astar,1,1.016,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:11.944,,order_102000006,astar,1,1.02,3,7.084,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:11.947,,vehiclee3@localhost,astar,3,2.541,7,25.137,0,"[19, 13, 9, 13, 19, 13, 19]"
2025-11-19 22:35:12.903,,vehiclee2@localhost,astar,3,2.558,7,21.077,0,"[13, 13, 19, 13, 9, 13, 19]"
2025-11-19 22:35:12.907,,vehiclee1@localhost,astar,8,2.548,17,2.703,0,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 9, 9, 9, 9, 9, 9, 9, 9]"
2025-11-19 22:35:21.922,,order_102000007,astar,1,1.021,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:21.936,,vehiclee1@localhost,astar,1,1.529,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:21.938,,order_102000007,astar,1,1.016,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:21.943,,order_102000007,astar,1,1.057,3,7.084,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:21.947,,vehiclee3@localhost,astar,3,4.088,7,25.137,0,"[19, 13, 9, 13, 19, 13, 19]"
2025-11-19 22:35:21.950,,order_101000013,astar,1,1.526,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:21.962,,order_101000013,astar,1,2.035,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:21.966,,order_101000013,astar,1,1.534,3,4.627,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:21.969,,vehiclee3@localhost,astar,3,3.046,7,22.68,0,"[19, 13, 9, 13, 19, 13, 9]"
2025-11-19 22:35:22.911,,vehiclee1@localhost,astar,9,3.058,19,2.703,0,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
2025-11-19 22:35:22.915,,vehiclee2@localhost,astar,4,3.572,9,30.297,0,"[13, 13, 9, 13, 19, 13, 19, 13, 19]"
2025-11-19 22:35:28.175,,vehiclee3@localhost,astar,2,2.547,5,15.917,0,"[19, 13, 9, 13, 19]"
2025-11-19 22:35:31.910,,order_102000008,astar,1,1.025,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:31.922,,vehiclee1@localhost,astar,1,1.532,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:31.924,,order_102000008,astar,1,1.063,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:31.928,,order_102000008,astar,1,1.016,3,9.22,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:31.933,,order_101000014,astar,1,1.017,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:31.941,,order_101000014,astar,1,1.014,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:31.944,,order_101000014,astar,1,1.021,3,6.763,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:32.905,,vehiclee2@localhost,astar,5,3.062,11,39.517,0,"[13, 13, 19, 13, 19, 13, 9, 13, 19, 13, 19]"
2025-11-19 22:35:32.908,,vehiclee1@localhost,astar,10,2.042,21,2.703,0,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
2025-11-19 22:35:34.963,,order_202000003,astar,1,1.534,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:35:34.964,,vehiclee1@localhost,astar,1,1.016,3,12.744,0,"[9, 22, 13]"
2025-11-19 22:35:34.966,,order_202000003,astar,1,1.017,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:35:34.968,,vehiclee2@localhost,astar,1,1.023,3,10.669,0,"[19, 22, 13]"
2025-11-19 22:35:34.970,,order_202000003,astar,1,1.044,4,10.669,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:35:34.972,,vehiclee3@localhost,astar,1,1.015,3,10.669,0,"[19, 22, 13]"
2025-11-19 22:35:36.899,,order_102000009,astar,1,1.016,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:36.913,,vehiclee1@localhost,astar,1,1.035,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:36.916,,order_102000009,astar,1,1.024,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
